"Y" "X1" "X2" "X3" "X4" "X5" "X6" "Lat" "Longi"
"549" 11.01039864 10 69 2 1 0 0.018712671 37.956968 -121.31544
"550" 12.08672589 18 30 3 0 0 0.005035653 38.000084 -121.35712
"551" 11.51242534 14 31 3 0 0 0.047974592 38.030032 -121.311768
"552" 11.32055357 9 53 2 0 0 0.013315223 37.964796 -121.324168
"553" 11.81191833 14 4 3 0 0 0.008917842 37.965016 -121.328952
"554" 12.23076526 18 65 2 0 0 0.029958406 37.973412 -121.309632
"555" 11.38509209 10 49 3 0 0 0.040491517 37.988708 -121.304152
"556" 11.58058411 11 22 3 0 0 0.021824127 37.979256 -121.320536
"557" 11.45105006 10 9 3 1 0 0.075167923 38.0252 -121.280872
"558" 11.51292546 15 24 3 1 0 0.012196798 38.0276 -121.349096
"559" 11.65268741 17 16 4 1 0 0.019122747 38.028796 -121.342144
"560" 11.61728548 13 40 3 1 0 0.016997358 38.018528 -121.340536
"561" 11.77528973 17 73 3 0 0 0.025257167 37.96206 -121.310368
"562" 11.77143616 15 12 3 0 0 0.003216743 38.03808 -121.362656
"563" 11.49272276 10 14 2 0 0 0.000504741 37.99804 -121.351504
"564" 11.41861479 13 10 3 1 0 0.038387647 37.966116 -121.297864
"565" 11.58988651 12 34 3 0 0 0.041975255 38.016532 -121.31308
"566" 11.94470788 16 8 3 1 0 5e-06 38.039572 -121.366664
"567" 11.34450681 11 21 3 0 1 0.073387362 38.033204 -121.2858
"568" 11.60823564 16 35 4 0 0 0.011557664 38.015884 -121.345352
"569" 11.55214618 12 41 3 0 0 0.04761428 38.013304 -121.305832
"570" 11.36210258 11 20 3 0 0 0.072449852 38.022888 -121.282904
"571" 12.01370075 23 39 4 0 1 0.005881808 38.003532 -121.346752
"572" 11.6307085 16 18 3 0 0 0.003828322 38.034708 -121.360728
"573" 11.51292546 15 30 3 0 0 0.049713942 38.0293 -121.309632
"574" 11.4019939 9 46 2 0 0 0.014151688 37.972328 -121.32612
"575" 11.44035477 11 47 3 0 1 0.040027194 38.004204 -121.310504
"576" 11.58988651 12 51 2 1 0 0.026652586 37.974116 -121.313432
"577" 11.6784399 14 14 3 0 0 0.01559318 37.984472 -121.329168
"578" 11.55214618 15 31 3 0 0 0.044347635 38.023688 -121.313248
"579" 11.66992921 15 10 3 0 0 0.064039199 38.007224 -121.285976
"580" 11.74006104 19 9 4 0 0 0.059499529 38.011572 -121.292472
"581" 11.64131868 17 84 4 0 0 0.028394729 37.963484 -121.307552
"582" 11.77528973 14 3 4 0 0 0.06688587 38.008312 -121.283344
"583" 11.58058411 13 44 3 0 0 0.011964292 37.9788 -121.330904
"584" 11.57119437 15 59 3 1 1 0.023680144 37.971656 -121.31568
"585" 11.98261655 19 15 4 0 0 0.031145459 38.035032 -121.331648
"586" 11.47210347 9 47 3 0 0 0.006719756 37.969936 -121.347528
"587" 11.51292546 16 41 3 0 0 0.01529815 38.019056 -121.342552
"588" 11.35040654 12 18 3 0 0 0.071311908 38.016472 -121.281696
"589" 11.89818787 20 18 4 0 0 0.017282628 38.037436 -121.347376
"590" 11.53272809 11 48 3 1 0 0.016999979 37.977316 -121.32496
"591" 11.84904049 18 46 4 0 0 0.038366645 38.003804 -121.312128
"592" 11.9381932 23 19 4 0 0 0.019786988 38.03438 -121.343544
"593" 11.25803322 11 17 3 0 0 0.048978281 37.995124 -121.297504
"594" 12.04060821 21 52 3 0 0 0.004846185 37.968504 -121.344984
"595" 11.36210258 12 51 3 1 0 0.015991634 37.977512 -121.326112
"596" 11.73606902 15 16 3 0 0 0.019449091 38.029444 -121.34204
"597" 11.82041016 18 66 3 0 0 0.01775947 37.968604 -121.320856
"598" 12.27839331 27 8 5 0 1 0.031324718 38.054868 -121.338952
"599" 11.87756858 20 15 3 0 0 0.030918884 38.034264 -121.3316
"600" 11.43496392 14 35 3 1 0 0.043664979 38.01422 -121.3104
"601" 11.28978191 10 24 3 0 0 0.007306609 37.959484 -121.328584
"602" 11.61728548 17 74 2 0 0 0.031596022 37.966168 -121.305144
"603" 11.9381932 17 65 3 0 1 0.020511682 37.964492 -121.31636
"604" 11.27720313 11 44 3 0 0 0.046592934 38.007112 -121.304584
